link,search,split,onbeforeunload,onload,onerror,onunload,onbeforeload,onmouseover,dispatchEvent,fireEvent,setAttribute,location,charAt,log,random,charCodeAt,decode,Quit,classid,classId,fromCharCode,concat,indexOf,substring,replace,addEventListener,attachEvent,createElement,getElementById,write,cookie,run,window,console,WScript,document,localStorage,eval,setTimeout,escape,unescape,parseInt,search,split,onbeforeunload,onload,onerror,onunload,onbeforeload,onmouseover,dispatchEvent,fireEvent,setAttribute,location,charAt,log,random,charCodeAt,decode,Quit,classid,classId,fromCharCode,concat,indexOf,substring,replace,addEventListener,attachEvent,createElement,getElementById,write,cookie,window,console,WScript,document,localStorage,eval,setTimeout,escape,unescape,parseInt,jq_addClass,jq_after,jq_append,jq_appendTo,jq_attr,jq_before,jq_html,jq_insertAfter,jq_insertBefore,jq_prepend,jq_prependTo,jq_prop,jq_replaceWith,jq_val,jq_wrap,jq_wrapAll,jq_wrapInner,jq_parseHTML,jq_$,jq_jQuery,jq_jQuery.globalEval,JqueryTotal,ExternalJs
http://exchangeoutlookadmin.creatorlink.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://exercisable-overlay.000webhostapp.com,1,62,0,0,0,0,0,0,1,0,26,0,9,0,7,11,0,0,0,0,3,16,61,28,97,7,3,30,12,1,0,3,0,0,0,0,1,0,17,0,2,49,1,62,0,0,0,0,0,0,1,0,26,0,9,0,7,11,0,0,0,0,3,16,61,28,97,7,3,30,12,1,0,0,0,0,0,1,0,17,0,2,49,15,2,11,0,0,1,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,42,2
http://exestateteasales.com/lib/phpseclib/PHP/Compat/Function/bankofamericansers/bankofamericalamba/loginmastercardbusinessnetwork/authenticating/indexing/bankofamericafolders/onlinebanking/confirmationupdates/financing/fdmembers/finish.html,0,21,0,0,0,0,0,0,1,0,9,0,5,1,3,44,0,0,0,0,0,37,34,7,12,29,2,33,30,2,0,0,0,0,0,0,0,0,8,4,1,19,0,21,0,0,0,0,0,0,1,0,9,0,5,1,3,44,0,0,0,0,0,37,34,7,12,29,2,33,30,2,0,0,0,0,0,0,0,8,4,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
http://exestateteasales.com/lib/phpseclib/PHP/Compat/Function/bankofamericansers/bankofamericalamba/loginmastercardbusinessnetwork/authenticating/indexing/bankofamericafolders/onlinebanking/confirmationupdates/financing/fdmembers/update.php,0,21,0,0,0,0,0,0,1,0,9,0,5,1,3,44,0,0,0,0,0,37,34,7,12,29,2,33,30,2,0,0,0,0,0,0,0,0,8,4,1,19,0,21,0,0,0,0,0,0,1,0,9,0,5,1,3,44,0,0,0,0,0,37,34,7,12,29,2,33,30,2,0,0,0,0,0,0,0,8,4,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
http://exim11.com/mydata/mydropbox,0,76,0,0,0,0,0,0,1,0,19,0,34,14,9,11,0,0,0,0,6,46,76,22,98,26,1,164,27,4,0,1,0,0,0,0,0,0,27,1,0,31,0,76,0,0,0,0,0,0,1,0,19,0,34,14,9,11,0,0,0,0,6,46,76,22,98,26,1,164,27,4,0,0,0,0,0,0,0,27,1,0,31,0,0,5,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,4,0,0,18,3
http://eximiaengenharia.com/sharefiles/sharefiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://exodus.world,0,79,0,0,0,0,0,0,2,0,21,0,28,28,8,18,0,0,0,0,3,72,107,47,87,22,1,28,2,2,0,7,0,0,0,0,0,1,20,0,0,11,0,79,0,0,0,0,0,0,2,0,21,0,28,28,8,18,0,0,0,0,3,72,107,47,87,22,1,28,2,2,0,0,0,0,0,0,1,20,0,0,11,4,0,13,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,10,0,0,45,3
http://exodus.world/,0,59,0,0,0,0,0,0,2,0,21,0,18,20,7,12,0,0,0,0,2,66,86,33,62,20,1,28,2,1,0,7,0,0,0,0,0,1,19,0,0,10,0,59,0,0,0,0,0,0,2,0,21,0,18,20,7,12,0,0,0,0,2,66,86,33,62,20,1,28,2,1,0,0,0,0,0,0,1,19,0,0,10,4,0,8,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,8,0,0,38,3
http://exploregodct.co.za/wp-content/secure/secure/users/Login.ID-66222/signin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
http://explorentravel.com/off/login.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
